id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state,video_url,video_time,aim_x,aim_y
1,0:59,Shot,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,77,Susanna Tapani,,,,,50,Kristen Campbell,,,,,,,56.70,-21.20,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,153,,
2,2:14,Shot,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,88,Julia Gosling,,,,,31,Aerin Frankel,,,,,,,-45.70,17.00,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,256,,
3,2:35,Penalty,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,22,Maggie Connors,,,,,30,Emma Söderberg,,,,,,,0.00,0.00,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,276,,
4,3:00,Goal,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v4,21,Hilary Knight,5,Megan Keller,19,Hannah Bilka,50,Kristen Campbell,,3 14 51 61,Jocelyne Larocque - Renata Fast - Victoria Bach - Noemi Neubauerová,,5 11 15 19 21,Megan Keller - Alina Müller - Sydney Bard - Hannah Bilka - Hilary Knight,65.30,7.60,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,328,,
5,3:07,Shot,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,20,Hannah Brandt,,,,,50,Kristen Campbell,,,,,,,55.00,-14.20,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,378,,
6,4:15,Shot,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,19,Hannah Bilka,,,,,50,Kristen Campbell,,,,,,,76.70,22.40,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,457,,
7,4:41,Shot,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,25,Emma Greco,,,,,50,Kristen Campbell,,,,,,,69.00,24.60,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,492,,
8,4:50,Shot,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,9,Daryl Watts,,,,,31,Aerin Frankel,,,,,,,-61.00,14.20,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,501,,
9,5:25,Shot,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,18,Jesse Compher,,,,,31,Aerin Frankel,,,,,,,-51.00,-15.00,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,536,,
10,5:59,Block,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,19,Lauren Bernard,,,,,31,Aerin Frankel,,,,,,,-41.00,26.40,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,569,,
11,7:27,Block,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,40,Blayre Turnbull,,,,,31,Aerin Frankel,,,,,,,-50.30,0.00,105,2024-11-30,PWHL,2024/2025,Regular Season,https://www.youtube.com/watch?v=8UaCrnFQggI&list=PL0mFR_94wMa7DEowJ2ETNb823rMUMXFVB&index=100,611,,
